Data,Hora,Vaga,Nome da Empresa,Tipo de Trabalho,URL,Cidade,Estado
20/11/2023,14:23,ANALISTA DE MATERIA PRIMA JR,3corações,Presencial,https://3coracoes.gupy.io/job/eyJqb2JJZCI6NTk2Mzg0Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Santa Luzia,Minas Gerais
20/11/2023,14:09,Analista de Compras (Mercearia) (Bretas) - Ribeirão das Neves/MG 👔🛒,Cencosud Brasil,Presencial,https://cencosudbrasil.gupy.io/job/eyJqb2JJZCI6NjAwMTY0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Ribeirão das Neves,Minas Gerais
20/11/2023,13:56,ANALISTA DE NEGÓCIOS CONTÁBEIS - Horizontina/RS,TECNICON Sistemas Gerenciais ,Presencial,https://tecnicon.gupy.io/job/eyJqb2JJZCI6NTk5NjA0MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Horizontina,Rio Grande do Sul
20/11/2023,13:49,Analista de Marketing de Produto,ZEN S.A.,Presencial,https://zensa.gupy.io/job/eyJqb2JJZCI6NTgxMjU4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Brusque,Santa Catarina
20/11/2023,13:29,Dexis - Analista de Crédito - Sede Administrativa - Maringá/PR ,Sicredi,Presencial,https://sicredi.gupy.io/job/eyJqb2JJZCI6NjAwNjI1Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Maringá,Paraná
20/11/2023,13:23,Analista de Marketing,Fiscaltech,Presencial,https://fiscaltech.gupy.io/job/eyJqb2JJZCI6NjAwNjM5OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Curitiba,Paraná
20/11/2023,13:13,Analista de Crédito e Cobrança - Nova Mutum/MT ,Grupo Sinagro,Presencial,https://gruposinagro.gupy.io/job/eyJqb2JJZCI6NjAwNjM4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Nova Mutum,Mato Grosso
20/11/2023,13:12,Analista de Compras,Fiscaltech,Presencial,https://fiscaltech.gupy.io/job/eyJqb2JJZCI6NjAwNjE5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Curitiba,Paraná
20/11/2023,13:09,Analista Comercial - Produtos PJ,Franq,Presencial,https://franq.gupy.io/job/eyJqb2JJZCI6NjAwNjMyMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Florianópolis,Santa Catarina
20/11/2023,13:08,Analista de Crédito e Cobrança - Matupá/MT ,Grupo Sinagro,Presencial,https://gruposinagro.gupy.io/job/eyJqb2JJZCI6NjAwNjI1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Matupá,Mato Grosso
