Data,Vaga,Nome da Empresa,Tipo de Trabalho,Tipo de Vaga,URL,Cidade,Estado
21/06/2024,Engenheiro de Inteligência Artificial,Construct IN,Híbrido,Autônomo,https://constructin.gupy.io/job/eyJqb2JJZCI6NzM0OTA2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Leopoldo,Rio Grande do Sul
21/06/2024,Analista de Qualidade - Maringá/PR,Vitru Education,Presencial,Efetiva,https://vitru.gupy.io/job/eyJqb2JJZCI6NzM1MDkwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Maringá,Paraná
21/06/2024,Analista de Recursos Humanos,BBM Logística,Presencial,Efetiva,https://bbmlogistica.gupy.io/job/eyJqb2JJZCI6NzI5NTEzNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Sumaré/sp,São Paulo
21/06/2024,Arquiteto de Dados (Banco de Talentos),Lanlink Informática,Presencial,Banco de Talentos,https://vempralanlink.gupy.io/job/eyJqb2JJZCI6NzM0MjA1OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
21/06/2024,Estágio em Engenharia - Análise de Dados ,Grupo Moura,Presencial,Estágio,https://grupomoura.gupy.io/job/eyJqb2JJZCI6NzE0ODY5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Belo Jardim,Pernambuco
21/06/2024,Desenvolvedor Python,grupozenir.gupy.io,Presencial,Efetiva,https://grupozenir.gupy.io/job/eyJqb2JJZCI6NzM1MDQyOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Iguatu,Ceará
21/06/2024,Docente de Engenharia de Software - UniCatólica,Centro Universitário Católica do Tocantins,Presencial,vacancy_type_lecturer,https://unicatolica.gupy.io/job/eyJqb2JJZCI6NzI4NjQwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Palmas,Tocantins
20/06/2024,Pessoa engenheira de dados ,Mutant,Remoto,Efetiva,https://mutantbrvagas.gupy.io/job/eyJqb2JJZCI6NzM0NDA4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,Data Governance | Specialist,Compass.UOL,Remoto,Efetiva,https://compass.gupy.io/job/eyJqb2JJZCI6NzMxODUyMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,Pessoa Desenvolvedora IOS ,Instituto de Pesquisas ELDORADO,Remoto,Banco de Talentos,https://institutoeldorado.gupy.io/job/eyJqb2JJZCI6NzM0NDA3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,Pessoa Desenvolvedora Front-end React,ioasys,Remoto,Efetiva,https://ioasys.gupy.io/job/eyJqb2JJZCI6NzM0MDI2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,Junior Software Engineer | Stilingue by Blip,Blip,Remoto,Efetiva,https://blip.gupy.io/job/eyJqb2JJZCI6NzM0MjM0Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,[002] Pessoa Arquiteta de Software ,ilegra,Remoto,Efetiva,https://ilegra.gupy.io/job/eyJqb2JJZCI6NzM0MTA3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,7309579 - PESSOA ARQUITETA DE SOFTWARE (SAP/VTEX),Quality Digital,Remoto,Efetiva,https://qualitydigital.gupy.io/job/eyJqb2JJZCI6NzMwOTU3OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,DevOps Engineer,Viceri,Remoto,Efetiva,https://viceri-vagas.gupy.io/job/eyJqb2JJZCI6NzMzNDY3MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,Especialista em Inteligência Artificial (AI),Webjump,Remoto,Efetiva,https://webjump.gupy.io/job/eyJqb2JJZCI6NzM0MzU1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,Especialista em Inteligência Artificial,Instituto de Pesquisas ELDORADO,Remoto,Banco de Talentos,https://institutoeldorado.gupy.io/job/eyJqb2JJZCI6NzM0MDI3MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,Data specialist engineer,MG Info | Data Driven Culture,Remoto,Efetiva,https://mginfo.gupy.io/job/eyJqb2JJZCI6NzM0NTIxNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,Analista de Engenharia de Software Jr | Backend Java ,Elo,Remoto,Efetiva,https://vempraelo.gupy.io/job/eyJqb2JJZCI6NzMwOTQ3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/06/2024,ANALISTA DE NEGÓCIOS | MODELO HIBRIDO | SÃO PAULO (ZONA NORTE),Fast Shop S/A,Híbrido,Efetiva,https://fastshop.gupy.io/job/eyJqb2JJZCI6NzM0NDQ1Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/06/2024,Analista Desenvolvedor Visual Basic,3CON | IT & Digital,Híbrido,Efetiva,https://trescon.gupy.io/job/eyJqb2JJZCI6NzM0NDI2OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Piracicaba,São Paulo
20/06/2024,ENGENHEIRO DADOS,Venha construir o futuro com a gente!,Híbrido,Efetiva,https://vagas-mrveco.gupy.io/job/eyJqb2JJZCI6NzMyNjcxNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Belo Horizonte,Minas Gerais
20/06/2024,Engenheiro de Dados Júnior,Bellinati Perez,Híbrido,Efetiva,https://bellinatiperez.gupy.io/job/eyJqb2JJZCI6NzM0MzMzNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Curitiba,Paraná
20/06/2024,ANALISTA LOGÍSTICA JR | PROJETOS & PERFOMANCE - FOCO EM DADOS,Suzano,Híbrido,Efetiva,https://suzano.gupy.io/job/eyJqb2JJZCI6NzMyNzA1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/06/2024,Cientista de Dados - Especialista,Banco Bmg,Híbrido,Efetiva,https://bmg.gupy.io/job/eyJqb2JJZCI6NzI2MTkxMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/06/2024,PESSOA ANALISTA RELACIONAMENTO JUNIOR - FOCO EM DADOS E POWER BI - EXCLUSIVA PARA PESSOAS COM DEFICIÊNCIA,YDUQS,Híbrido,Efetiva,https://yduqs.gupy.io/job/eyJqb2JJZCI6NzMxNTY3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Rio de Janeiro,Rio de Janeiro
20/06/2024,Âmbar Energia -  Analista de Gestão de Energia ,Âmbar Energia,Presencial,Efetiva,https://ambarenergia.gupy.io/job/eyJqb2JJZCI6NzM0NDU1OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/06/2024,Analista de Produtos I,Agis Distribuição,Presencial,Efetiva,https://vagasagis.gupy.io/job/eyJqb2JJZCI6NzI3MDA2Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Campinas,São Paulo
20/06/2024,Analista de Suporte JR,Stefanini Group,Presencial,Efetiva,https://stefanini.gupy.io/job/eyJqb2JJZCI6NzM0NDM5Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Lages,Santa Catarina
20/06/2024,Analista de Atendimento de Benefícios Junior - Jarinu , IT'SSEG COMPANY,Presencial,Efetiva,https://itsseg-company.gupy.io/job/eyJqb2JJZCI6NzI4NzI0NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Jarinu,São Paulo
20/06/2024,Analista de Departamento Pessoal ,TSA Tecnologia de Sistemas de Automação SA,Presencial,Efetiva,https://tsaengenharia.gupy.io/job/eyJqb2JJZCI6NzM0NDU0NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Belo Horizonte,Minas Gerais
20/06/2024,Estagiário em Data Analytics,Mottu,Presencial,Estágio,https://vagasmottu.gupy.io/job/eyJqb2JJZCI6NzM0MTc1Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/06/2024,DESENVOLVEDOR FRONTEND MOBILE/WEB,GRUPO SERVNAC,Presencial,Entidade legal,https://gruposervnac.gupy.io/job/eyJqb2JJZCI6NzM0MzE2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Fortaleza,Ceará
20/06/2024,DESENVOLVEDOR BACKEND MOBILE/WEB,GRUPO SERVNAC,Presencial,Entidade legal,https://gruposervnac.gupy.io/job/eyJqb2JJZCI6NzM0MjE0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Fortaleza,Ceará
20/06/2024,Consultor(a) de Automação de Processos - Data & Analytics,KPMG Brasil,Presencial,Efetiva,https://kpmgbrasil.gupy.io/job/eyJqb2JJZCI6NzM0NjI5MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/06/2024,Especialista de Data Analytics,Grupo Partage,Presencial,Entidade legal,https://partage.gupy.io/job/eyJqb2JJZCI6NzM0NjA1OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/06/2024,Engenheiro de Desenvolvimento de Software (e-Mobility),Volkswagen Caminhões e Ônibus,Presencial,Efetiva,https://vwco.gupy.io/job/eyJqb2JJZCI6NzM0NjI0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Resende,Rio de Janeiro
19/06/2024,Estágio Desenvolvedor PHP (Remota),Telco ,Remoto,Estágio,https://telcomanager.gupy.io/job/eyJqb2JJZCI6NzMzNjE3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
19/06/2024,Desenvolvedor(a) - Front End,Celk Sistemas,Remoto,Efetiva,https://celksistemas.gupy.io/job/eyJqb2JJZCI6NzMzNTQ1OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
19/06/2024,Jr. Back Office Analyst (Remote),Carreira Involves,Remoto,Efetiva,https://involves.gupy.io/job/eyJqb2JJZCI6NzIxMzkzOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
